,opening_gross,screens,production_budget,worldwide_gross,title_year,aspect_ratio,duration,cast_total_facebook_likes,budget,imdb_score
737,88357488.0,3682.0,100000000.0,878979634.0,2002.0,2.35,174.0,35672.0,100000000.0,7.4
738,17695682.477841157,2244.4561008554706,125000000.0,1341511219.0,2011.0,2.1555288461538464,110.95351867940921,11036.0,60214958.65377698,7.5
739,17695682.477841157,2244.4561008554706,125000000.0,960283305.0,2010.0,2.1555288461538464,110.95351867940921,14719.0,60214958.65377698,6.4
740,102335066.0,3858.0,150000000.0,896911078.0,2005.0,2.35,157.0,53413.0,150000000.0,7.6
741,77835727.0,4325.0,250000000.0,935083686.0,2009.0,2.35,153.0,58753.0,250000000.0,7.5
742,77108414.0,4.0,150000000.0,942943935.0,2007.0,2.35,138.0,33433.0,150000000.0,7.5
743,93687367.0,3855.0,130000000.0,796688549.0,2004.0,2.35,142.0,33284.0,130000000.0,7.8
744,90294621.0,3672.0,125000000.0,974755371.0,2001.0,2.35,159.0,13191.0,125000000.0,7.5
745,8907413.0,2459.0,70000000.0,33076815.0,2002.0,2.35,125.0,15916.0,60000000.0,6.3
746,8425370.0,2439.0,23000000.0,36374700.0,2011.0,2.35,93.0,31187.0,23000000.0,5.8
747,7610663.0,1319.0,25000000.0,22411948.0,1998.0,1.85,136.0,37315.0,25000000.0,6.9
748,27785487.0,3175.0,40000000.0,181053657.0,2009.0,2.35,129.0,318.0,40000000.0,6.4
749,13503484.0,2151.0,35200000.0,38283765.0,2003.0,1.85,95.0,4537.0,35200000.0,5.4
750,4804595.0,2338.0,14000000.0,10397365.0,2001.0,2.35,86.0,2165.0,14000000.0,5.4
751,11801323.0,2750.0,38000000.0,57753825.0,2001.0,2.35,123.0,2912.0,35000000.0,6.2
752,9021494.0,1751.0,31000000.0,30885781.0,2001.0,2.35,101.0,13811.0,31000000.0,6.9
753,22522221.0,2417.0,12000000.0,100919111.0,2014.0,2.35,99.0,663.0,12000000.0,5.8
754,34539115.0,3204.0,82500000.0,160388063.0,2008.0,1.85,120.0,3632.0,85000000.0,7.0
755,12709221.0,3521.0,50000000.0,144110682.0,2005.0,1.85,101.0,2177.0,50000000.0,4.7
756,11816596.0,3014.0,42000000.0,73239258.0,2012.0,1.85,105.0,6727.0,42000000.0,6.5
757,4510705.0,1714.0,15000000.0,10845127.0,2000.0,1.85,96.0,3142.0,15000000.0,5.1
758,220322.0,6.0,50000000.0,105246941.0,2010.0,2.35,129.0,14344.0,50000000.0,6.5
759,260382.0,6.0,23000000.0,48783090.0,2013.0,1.85,126.0,19359.0,23000000.0,8.0
760,18829435.0,3063.0,78000000.0,107336658.0,2004.0,2.35,136.0,36925.0,100000000.0,6.7
761,21959233.0,3005.0,25000000.0,123696741.0,2005.0,2.35,101.0,23328.0,30000000.0,5.9
762,14005550.0,2717.0,42000000.0,63781100.0,2002.0,2.35,115.0,15571.0,42000000.0,6.3
763,6429107.0,1183.0,20000000.0,47881663.0,2000.0,1.85,113.0,3141.0,20000000.0,7.6
764,42030184.0,3623.0,11000000.0,274392880.0,2008.0,1.85,112.0,3507.0,11000000.0,4.5
765,6223330.0,1543.0,15000000.0,12801190.0,2000.0,2.35,101.0,2764.0,15000000.0,4.6
766,43142214.0,3575.0,55000000.0,366784257.0,2005.0,2.35,118.0,13426.0,70000000.0,6.6
767,13180769.0,2458.0,17500000.0,99135571.0,2007.0,2.35,94.0,2124.0,24000000.0,6.3
